timestamp,power_draw_W
2025-10-14T01:34:04.461930+00:00,2.88
2025-10-14T01:34:05.513053+00:00,2.74
2025-10-14T01:34:06.579727+00:00,2.82
2025-10-14T01:34:07.630949+00:00,2.69
2025-10-14T01:34:08.699019+00:00,2.75
2025-10-14T01:34:09.754583+00:00,2.74
2025-10-14T01:34:10.806928+00:00,2.86
2025-10-14T01:34:11.871384+00:00,2.81
2025-10-14T01:34:12.929103+00:00,2.61
2025-10-14T01:34:13.992809+00:00,2.75
2025-10-14T01:34:15.048751+00:00,2.81
2025-10-14T01:34:16.114043+00:00,2.65
2025-10-14T01:34:17.170653+00:00,2.86
2025-10-14T01:34:18.233305+00:00,2.87
2025-10-14T01:34:19.286679+00:00,3.01
2025-10-14T01:34:20.336778+00:00,2.82
2025-10-14T01:34:21.399340+00:00,2.72
2025-10-14T01:34:22.457214+00:00,2.63
2025-10-14T01:34:23.522218+00:00,2.67
2025-10-14T01:34:24.581730+00:00,2.87
2025-10-14T01:34:25.650500+00:00,2.98
2025-10-14T01:34:26.712210+00:00,2.77
2025-10-14T01:34:27.771764+00:00,2.65
2025-10-14T01:34:28.834220+00:00,2.68
2025-10-14T01:34:29.892867+00:00,2.82
2025-10-14T01:34:30.951088+00:00,2.66
2025-10-14T01:34:32.017153+00:00,2.82
2025-10-14T01:34:33.073701+00:00,2.68
2025-10-14T01:34:34.121774+00:00,2.80
2025-10-14T01:34:35.179350+00:00,3.08
2025-10-14T01:34:36.235560+00:00,2.59
2025-10-14T01:34:37.292467+00:00,2.76
2025-10-14T01:34:38.354980+00:00,2.71
2025-10-14T01:34:39.412610+00:00,2.77
2025-10-14T01:34:40.473870+00:00,2.60
2025-10-14T01:34:41.537649+00:00,2.63
2025-10-14T01:34:42.593939+00:00,2.62
2025-10-14T01:34:43.660511+00:00,2.59
2025-10-14T01:34:44.710137+00:00,2.87
2025-10-14T01:34:45.770514+00:00,2.63
2025-10-14T01:34:46.829624+00:00,2.84
2025-10-14T01:34:47.898264+00:00,2.73
2025-10-14T01:34:48.960087+00:00,2.74
2025-10-14T01:34:50.024233+00:00,3.34
2025-10-14T01:34:51.081238+00:00,2.69
2025-10-14T01:34:52.134104+00:00,2.74
2025-10-14T01:34:53.185120+00:00,2.61
2025-10-14T01:34:54.243844+00:00,2.75
2025-10-14T01:34:55.305191+00:00,2.76
2025-10-14T01:34:56.363864+00:00,2.67
2025-10-14T01:34:57.413500+00:00,2.71
